TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
MLNodeLaplacian::FillBoundaryCoeff()                   64  0.0001344  0.0001344  0.0001344   0.00%
mfix_dem::mfix_pc_inflow()                             30  0.0001194  0.0001194  0.0001194   0.00%
mfix::volWgtSum()                                      32  0.0001174  0.0001174  0.0001174   0.00%
NodalProjector::computeSyncResidual                    64  0.0001031  0.0001031  0.0001031   0.00%
REG::DEM PARTICLE SOLVE                                30   9.98e-05   9.98e-05   9.98e-05   0.00%
REG::FLUID SOLVE                                       30   9.96e-05   9.96e-05   9.96e-05   0.00%
FabArrayBase::FB::FB()                                 14    7.6e-05    7.6e-05    7.6e-05   0.00%
EB2::Initialize()                                       1      7e-05      7e-05      7e-05   0.00%
NeighborParticleContainer::GetNeighborCommTags          1   5.68e-05   5.68e-05   5.68e-05   0.00%
MLCellLinOp::defineBC()                                 5    5.4e-05    5.4e-05    5.4e-05   0.00%
MLEBTensorOp::define()                                  1   5.37e-05   5.37e-05   5.37e-05   0.00%
FabArrayBase::CPC::define()                            14   4.66e-05   4.66e-05   4.66e-05   0.00%
mfix::mfix_compute_vort                                 3    2.8e-05    2.8e-05    2.8e-05   0.00%
ParticleContainer::WritePlotFile()                      2   1.51e-05   1.51e-05   1.51e-05   0.00%
DistributionMapping::SFCProcessorMapDoIt()              1      1e-05      1e-05      1e-05   0.00%
MFIXBoundaryConditions::set_tracer_bcs()                6    8.7e-06    8.7e-06    8.7e-06   0.00%
NeighborParticleContainer::BuildMasks                   1    7.9e-06    7.9e-06    7.9e-06   0.00%
DistributionMapping::LeastUsedCPUs()                    1    6.9e-06    6.9e-06    6.9e-06   0.00%
DistributionMapping::Distribute()                       1      3e-06      3e-06      3e-06   0.00%
mfix::ComputeMassAccum()                                1    2.3e-06    2.3e-06    2.3e-06   0.00%
--------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Incl. Min  Incl. Avg  Incl. Max   Max %
--------------------------------------------------------------------------------------------------
main()                                                  1      6.591      6.591      6.591 100.00%
mfix_solve                                              1      6.363      6.363      6.363  96.53%
REG::FLUID SOLVE                                       30      3.609      3.609      3.609  54.75%
mfix::EvolveFluid                                      30      3.609      3.609      3.609  54.75%
MLMG::solve()                                         217      3.475      3.475      3.475  52.72%
MLMG::oneIter()                                       559       3.41       3.41       3.41  51.73%
MLMG::mgVcycle()                                      559      3.402      3.402      3.402  51.62%
MLMG::mgVcycle_bottom                                 559      3.401      3.401      3.401  51.60%
MLMG::actualBottomSolve()                             559        3.4        3.4        3.4  51.58%
MLCGSolver::bicgstab                                  559      3.395      3.395      3.395  51.51%
REG::DEM PARTICLE SOLVE                                30      2.715      2.715      2.715  41.19%
mfix_dem::EvolveParticles()                            30      2.715      2.715      2.715  41.19%
mfix::mfix_apply_predictor                             33      1.857      1.857      1.857  28.17%
mfix::mfix_apply_corrector                             30      1.803      1.803      1.803  27.35%
mfix::mfix_apply_nodal_projection                      64      1.754      1.754      1.754  26.60%
NodalProjector::project                                64      1.706      1.706      1.706  25.88%
mfix::compute_MAC_projected_velocities()               63      1.666      1.666      1.666  25.27%
NeighborParticleContainer::buildNeighborList          164      1.044      1.044      1.044  15.84%
NeighborList::build()                                 164      1.027      1.027      1.027  15.59%
particles_computation                                3758     0.8975     0.8975     0.8975  13.62%
MLEBABecLap::apply()                                31369     0.6399     0.6399     0.6399   9.71%
CGSolver::sxay()                                   141286      0.574      0.574      0.574   8.71%
MLNodeLaplacian::Fapply()                           17390     0.5469     0.5469     0.5469   8.30%
FabArray::FillBoundary()                            55369      0.538      0.538      0.538   8.16%
NeighborList::build()->list                           164     0.5218     0.5218     0.5218   7.92%
NeighborList::build()->count                          164      0.493      0.493      0.493   7.48%
NeighborParticleContainer::updateNeighborsCPU        3758     0.4221     0.4221     0.4221   6.40%
MLCGSolver::ParallelAllReduce                      119119      0.409      0.409      0.409   6.21%
MLEBABecLap::applyBC()                              31495      0.389      0.389      0.389   5.90%
FillBoundary_nowait()                               55183     0.3137     0.3137     0.3137   4.76%
FabArray::LinComb()                                141286     0.2893     0.2893     0.2893   4.39%
amrex::Dot()                                        94716     0.2326     0.2326     0.2326   3.53%
MLNodeLinOp::applyBC()                              17390     0.2039     0.2039     0.2039   3.09%
amrex::Copy()                                       86853     0.1649     0.1649     0.1649   2.50%
MLEBABecLap::Fapply()                               31369     0.1583     0.1583     0.1583   2.40%
NeighborParticleContainer::fillNeighborsCPU           164     0.1478     0.1478     0.1478   2.24%
NeighborParticleContainer::cacheNeighborInfo          164     0.1181     0.1181     0.1181   1.79%
FabArray::norminf()                                 48775    0.09598    0.09598    0.09598   1.46%
DiffusionOp::diffuse_velocity                          30    0.09406    0.09406    0.09406   1.43%
mfix::mfix_calc_txfr_fluid()                           61    0.08883    0.08883    0.08883   1.35%
MultiFab::Multiply()                                34388     0.0687     0.0687     0.0687   1.04%
MLEBTensorOp::apply()                                 601    0.06346    0.06346    0.06346   0.96%
FabArrayBase::getFB()                               55252    0.06156    0.06156    0.06156   0.93%
MLNodeLaplacian::normalize()                        17134    0.05905    0.05905    0.05905   0.90%
FillBoundary_finish()                               55183    0.05767    0.05767    0.05767   0.87%
FabArray::setVal()                                  10237    0.04449    0.04449    0.04449   0.67%
DiffusionOp::diffuse_temperature                       30    0.04308    0.04308    0.04308   0.65%
mfix::WritePlotFile()                                   2    0.03111    0.03111    0.03111   0.47%
mfix::mfix_calc_transfer_coeff()                       61    0.03038    0.03038    0.03038   0.46%
MLCellLinOp::solutionResidual()                       586    0.02937    0.02937    0.02937   0.45%
mfix::mfix_compute_convective_term                     63    0.02851    0.02851    0.02851   0.43%
MLMG::computeResidual()                               559    0.02741    0.02741    0.02741   0.42%
ParticleContainer::RedistributeCPU()                  227    0.02703    0.02703    0.02703   0.41%
MFIXBoundaryConditions::set_species_bcs()             392    0.02204    0.02204    0.02204   0.33%
MLMG::prepareForSolve()                               217    0.02038    0.02038    0.02038   0.31%
MFIXParticleContainer::InterphaseTxfrDeposition()      61    0.01992    0.01992    0.01992   0.30%
FabArray<FAB>::SumBoundary()                          214    0.01862    0.01862    0.01862   0.28%
MFIXBoundaryConditions::set_velocity_bcs()            258    0.01775    0.01775    0.01775   0.27%
FabArray<FAB>::SumBoundary_nowait()                   214    0.01766    0.01766    0.01766   0.27%
WriteMultiLevelPlotfile()                               2    0.01726    0.01726    0.01726   0.26%
MLCellLinOp::correctionResidual()                     367    0.01714    0.01714    0.01714   0.26%
DiffusionOp::ComputeDivTau                             33    0.01417    0.01417    0.01417   0.21%
FabArray::ParallelCopy_nowait()                       460    0.01382    0.01382    0.01382   0.21%
mfix::mfix_calc_txfr_particle()                        30    0.01367    0.01367    0.01367   0.21%
FillPatchSingleLevel                                  244    0.01283    0.01283    0.01283   0.19%
DiffusionOp::ComputeLapX                               63    0.01282    0.01282    0.01282   0.19%
MFIXBoundaryConditions::set_temperature_bcs()         353    0.01262    0.01262    0.01262   0.19%
VisMF::Write(FabArray)                                  2    0.01208    0.01208    0.01208   0.18%
ParticleContainer::WritePlotFile()                      2    0.01186    0.01186    0.01186   0.18%
WriteBinaryParticleData()                               2    0.01185    0.01185    0.01185   0.18%
NodalProjector::computeRHS                            128    0.01182    0.01182    0.01182   0.18%
MLNodeLaplacian::compRHS()                            128    0.01145    0.01145    0.01145   0.17%
DenseBins<T>::buildOpenMP                             164    0.01141    0.01141    0.01141   0.17%
MLMG::computeMLResidual()                             217    0.01101    0.01101    0.01101   0.17%
MLMG::apply()                                          66    0.01016    0.01016    0.01016   0.15%
MFIXBoundaryConditions::set_enthalpy_bcs()            224   0.009916   0.009916   0.009916   0.15%
