TinyProfiler total time across processes [min...avg...max]: 6.037 ... 6.037 ... 6.037

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
MLEBABecLap::applyBC()                              31495      0.389      0.389      0.389   6.44%
FillBoundary_nowait()                               55183     0.3204     0.3204     0.3204   5.31%
amrex::Dot()                                        94716     0.2358     0.2358     0.2358   3.91%
MLNodeLinOp::applyBC()                              17390     0.2074     0.2074     0.2074   3.44%
amrex::Copy()                                       86853     0.1719     0.1719     0.1719   2.85%
MLEBABecLap::Fapply()                               31369     0.1594     0.1594     0.1594   2.64%
NeighborParticleContainer::fillNeighborsCPU           164      0.156      0.156      0.156   2.58%
FabArray::Saxpy()                                   70712     0.1343     0.1343     0.1343   2.22%
NeighborParticleContainer::cacheNeighborInfo          164     0.1245     0.1245     0.1245   2.06%
FabArray::LinComb()                                 47358     0.1001     0.1001     0.1001   1.66%
FabArray::norminf()                                 49768    0.09941    0.09941    0.09941   1.65%
mfix::mfix_calc_txfr_fluid()                           61     0.0955     0.0955     0.0955   1.58%
DiffusionOp::diffuse_velocity                          30     0.0925     0.0925     0.0925   1.53%
MultiFab::Multiply()                                34388    0.06899    0.06899    0.06899   1.14%
MLNodeLaplacian::normalize()                        17134    0.06878    0.06878    0.06878   1.14%
MLEBTensorOp::apply()                                 601    0.06383    0.06383    0.06383   1.06%
FabArrayBase::getFB()                               55252    0.06354    0.06354    0.06354   1.05%
FillBoundary_finish()                               55183    0.05784    0.05784    0.05784   0.96%
FabArray::setVal()                                  10237    0.04725    0.04725    0.04725   0.78%
FabArray::Xpay()                                    24619     0.0451     0.0451     0.0451   0.75%
DiffusionOp::diffuse_temperature                       30    0.04128    0.04128    0.04128   0.68%
mfix::WritePlotFile()                                   2    0.03166    0.03166    0.03166   0.52%
mfix::mfix_calc_transfer_coeff()                       61    0.03158    0.03158    0.03158   0.52%
MLCellLinOp::solutionResidual()                       586     0.0294     0.0294     0.0294   0.49%
mfix::mfix_compute_convective_term                     63    0.02848    0.02848    0.02848   0.47%
ParticleContainer::RedistributeCPU()                  227    0.02744    0.02744    0.02744   0.45%
MLMG::computeResidual()                               559    0.02719    0.02719    0.02719   0.45%
MFIXBoundaryConditions::set_species_bcs()             392    0.02279    0.02279    0.02279   0.38%
MFIXParticleContainer::InterphaseTxfrDeposition()      61    0.02133    0.02133    0.02133   0.35%
FabArray<FAB>::SumBoundary()                          214    0.02114    0.02114    0.02114   0.35%
FabArray<FAB>::SumBoundary_nowait()                   214    0.02015    0.02015    0.02015   0.33%
MLMG::prepareForSolve()                               217    0.01954    0.01954    0.01954   0.32%
MFIXBoundaryConditions::set_velocity_bcs()            258    0.01759    0.01759    0.01759   0.29%
MLCellLinOp::correctionResidual()                     367    0.01729    0.01729    0.01729   0.29%
WriteMultiLevelPlotfile()                               2    0.01719    0.01719    0.01719   0.28%
FabArray::ParallelCopy_nowait()                       460    0.01559    0.01559    0.01559   0.26%
DiffusionOp::ComputeDivTau                             33    0.01496    0.01496    0.01496   0.25%
FillPatchSingleLevel                                  244    0.01434    0.01434    0.01434   0.24%
DiffusionOp::ComputeLapX                               63    0.01384    0.01384    0.01384   0.23%
mfix::mfix_calc_txfr_particle()                        30    0.01323    0.01323    0.01323   0.22%
MFIXBoundaryConditions::set_temperature_bcs()         353    0.01304    0.01304    0.01304   0.22%
ParticleContainer::WritePlotFile()                      2    0.01196    0.01196    0.01196   0.20%
WriteBinaryParticleData()                               2    0.01195    0.01195    0.01195   0.20%
NodalProjector::computeRHS                            128    0.01183    0.01183    0.01183   0.20%
MLNodeLaplacian::compRHS()                            128    0.01146    0.01146    0.01146   0.19%
DenseBins<T>::buildOpenMP                             164    0.01088    0.01088    0.01088   0.18%
MLMG::computeMLResidual()                             217     0.0107     0.0107     0.0107   0.18%
MLMG::apply()                                          66    0.01052    0.01052    0.01052   0.17%
MFIXBoundaryConditions::set_enthalpy_bcs()            224    0.01013    0.01013    0.01013   0.17%
VisMF::Write(FabArray)                                  2   0.009726   0.009726   0.009726   0.16%
mfix::mfix_redistribute_solids_volume                  92   0.009486   0.009486   0.009486   0.16%
mfix::mfix_calc_volume_fraction()                      31   0.009473   0.009473   0.009473   0.16%
PhysBCFunct::()                                       244   0.007927   0.007927   0.007927   0.13%
MLNodeLaplacian::prepareForSolve()                     64   0.007702   0.007702   0.007702   0.13%
MLABecLaplacian::prepareForSolve()                    157   0.006967   0.006967   0.006967   0.12%
DiffusionOp::ComputeDivhJ                              63   0.006876   0.006876   0.006876   0.11%
MFIXBoundaryConditions::set_epg_bcs()                 153   0.006619   0.006619   0.006619   0.11%
MLMG::getFluxes()                                     252   0.006089   0.006089   0.006089   0.10%
DiffusionOp::ComputeLapT                               33   0.005837   0.005837   0.005837   0.10%
particle_deposition                                    30   0.005502   0.005502   0.005502   0.09%
FabArray::ParallelCopy()                              246   0.005464   0.005464   0.005464   0.09%
NeighborParticleContainer::fillNeighborsMPI          3758   0.005373   0.005373   0.005373   0.09%
MFIXBoundaryConditions::set_density_bcs()             132   0.005287   0.005287   0.005287   0.09%
MLCellLinOp::compFlux()                               126   0.004767   0.004767   0.004767   0.08%
mfix_dem::mfix_pc_inflow()                             30   0.003919   0.003919   0.003919   0.06%
amrex::Add()                                         1499   0.003818   0.003818   0.003818   0.06%
MFIXParticleContainer::SolidsVolumeDeposition()        31   0.003784   0.003784   0.003784   0.06%
MLMG::ResNormInf()                                    776   0.003649   0.003649   0.003649   0.06%
MOL::ExtrapVelToFaces                                  63   0.003072   0.003072   0.003072   0.05%
MOL::ExtrapVelToFacesBox                               63   0.002895   0.002895   0.002895   0.05%
mfix::mfix_init_solvers                                 1   0.002694   0.002694   0.002694   0.04%
ParticleContainer::WriteParticles()                     2   0.002532   0.002532   0.002532   0.04%
FAbArray::OverrideSync()                              192   0.002489   0.002489   0.002489   0.04%
MLNodeLaplacian::define()                              64   0.002434   0.002434   0.002434   0.04%
MacProjection::set_MAC_velocity_bcs()                  63   0.002236   0.002236   0.002236   0.04%
mfix::mfix_add_energy_txfr_implicit                    63   0.002087   0.002087   0.002087   0.03%
MLEBABecLap::define()                                   5   0.001808   0.001808   0.001808   0.03%
MLNodeLinOp::buildMasks()                              64   0.001786   0.001786   0.001786   0.03%
MLMG::MLResNormInf()                                  217   0.001531   0.001531   0.001531   0.03%
NeighborParticleContainer::clearNeighborsCPU          585   0.001399   0.001399   0.001399   0.02%
FabArray::setDomainBndry()                            475   0.001334   0.001334   0.001334   0.02%
OverrideSync_nowait()                                 192   0.001274   0.001274   0.001274   0.02%
FabArray::mult()                                      471   0.001256   0.001256   0.001256   0.02%
MLNodeLaplacian::buildIntegral()                       64   0.001212   0.001212   0.001212   0.02%
MultiFab::Divide()                                    411   0.001122   0.001122   0.001122   0.02%
MLEBABecLap::FFlux()                                  126   0.001059   0.001059   0.001059   0.02%
MLCellLinOp::setLevelBC()                             220   0.001034   0.001034   0.001034   0.02%
mfix::mfix_deposition_bcs()                            92   0.001014   0.001014   0.001014   0.02%
FabArrayBase::getCPC()                                518  0.0009851  0.0009851  0.0009851   0.02%
FabArray::BuildMask()                                  69  0.0009725  0.0009725  0.0009725   0.02%
MLMG::MLRhsNormInf()                                  217  0.0009276  0.0009276  0.0009276   0.02%
MLNodeLaplacian::averageDownCoeffs()                   64  0.0009229  0.0009229  0.0009229   0.02%
MLCellLinOp::prepareForSolve()                        157  0.0008851  0.0008851  0.0008851   0.01%
MLNodeLaplacian::FillBoundaryCoeff()                   64   0.000764   0.000764   0.000764   0.01%
MLEBTensorOp::define()                                  1  0.0007429  0.0007429  0.0007429   0.01%
DiffusionOp::ComputeDivJ                               63  0.0007255  0.0007255  0.0007255   0.01%
OverrideSync_finish()                                 192  0.0005956  0.0005956  0.0005956   0.01%
MLCellLinOp::defineBC()                                 5  0.0005885  0.0005885  0.0005885   0.01%
MLLinOp::define()                                      69  0.0005812  0.0005812  0.0005812   0.01%
BndryData::define()                                     5  0.0005226  0.0005226  0.0005226   0.01%
mfix::mfix_add_vel_txfr_implicit                       63  0.0005015  0.0005015  0.0005015   0.01%
MLCellLinOp::defineAuxData()                            5  0.0004634  0.0004634  0.0004634   0.01%
OwnerMask()                                            64  0.0004453  0.0004453  0.0004453   0.01%
NeighborParticleContainer::getRcvCountsMPI            164  0.0003836  0.0003836  0.0003836   0.01%
MLLinOp::defineGrids()                                 69  0.0003708  0.0003708  0.0003708   0.01%
ParticleContainer::BuildRedistributeMask              224  0.0003584  0.0003584  0.0003584   0.01%
FabArray::ParallelCopy_finish()                       246  0.0003498  0.0003498  0.0003498   0.01%
FabArray::setVal(val, thecmd, scomp, ncomp)           129  0.0003227  0.0003227  0.0003227   0.01%
NeighborParticleContainer::areMasksValid              164  0.0002817  0.0002817  0.0002817   0.00%
MultiFab::min()                                        64  0.0002632  0.0002632  0.0002632   0.00%
FabArray<FAB>::SumBoundary_finish()                   214   0.000263   0.000263   0.000263   0.00%
MultiFab::max()                                        64  0.0002281  0.0002281  0.0002281   0.00%
mfix::mfix_correct_small_cells                         63  0.0001709  0.0001709  0.0001709   0.00%
FabArray::plus()                                       31  0.0001275  0.0001275  0.0001275   0.00%
mfix::volWgtSum()                                      32  0.0001225  0.0001225  0.0001225   0.00%
NodalProjector::computeSyncResidual                    64  0.0001053  0.0001053  0.0001053   0.00%
FabArrayBase::FB::FB()                                 14   7.74e-05   7.74e-05   7.74e-05   0.00%
EB2::Initialize()                                       1      7e-05      7e-05      7e-05   0.00%
NeighborParticleContainer::GetNeighborCommTags          1   5.67e-05   5.67e-05   5.67e-05   0.00%
mfix::mfix_compute_vort                                 3   5.49e-05   5.49e-05   5.49e-05   0.00%
FabArrayBase::CPC::define()                            14   4.97e-05   4.97e-05   4.97e-05   0.00%
NeighborParticleContainer::BuildMasks                   1   3.02e-05   3.02e-05   3.02e-05   0.00%
DistributionMapping::SFCProcessorMapDoIt()              1   2.03e-05   2.03e-05   2.03e-05   0.00%
MFIXBoundaryConditions::set_tracer_bcs()                6    8.8e-06    8.8e-06    8.8e-06   0.00%
DistributionMapping::LeastUsedCPUs()                    1    7.2e-06    7.2e-06    7.2e-06   0.00%
mfix::ComputeMassAccum()                                1      3e-06      3e-06      3e-06   0.00%
DistributionMapping::Distribute()                       1    1.3e-06    1.3e-06    1.3e-06   0.00%
--------------------------------------------------------------------------------------------------



BEGIN REGION DEM PARTICLE SOLVE

-----------------------------------------------------------------------------------------------
